Product Name,Product Category,SKU ID,Total Items Sold,Total Sales,Total Sales Returned,Total Discount,Discount,Item Net Sales,Average Cost,Average Net Sales,Gross Profit,Gross Profit %
1L Cold Brew,Cold Brew,N/A,26.00,625.00,0.00,0.00,0.00,625.00,0.00,24.04,625.00,100.00
3 Eggs omelette,3Eggs omelette,N/A,562.00,9227.33,0.00,703.67,7.09,9227.33,0.00,16.72,9227.33,100.00
ASTRO SPECIAL,ASTRO ESPECIAL,N/A,9.00,105.00,0.00,15.00,12.50,105.00,0.00,15.00,105.00,100.00
Americano,Coffee,N/A,853.00,5672.94,0.00,323.06,5.39,5672.94,0.00,6.78,5672.94,100.00
Apple Pie,Apple Pie,N/A,11.00,86.33,0.00,23.67,21.52,86.33,0.00,7.85,86.33,100.00
Banana Walnut,Cakes,N/A,47.00,333.00,0.00,43.00,11.44,333.00,0.00,7.40,333.00,100.00
Basil Pesto Pasta,New Signature food,N/A,43.00,1099.59,0.00,91.41,7.68,1099.59,0.00,26.18,1099.59,100.00
Basil Pesto Sandwich,New Signature food,N/A,29.00,693.37,0.00,88.63,11.33,693.37,0.00,28.89,693.37,100.00
Belgium Fudge Brownie,Angel kitchen’s brownie,N/A,17.00,60.50,0.00,0.00,0.00,60.50,0.00,5.04,60.50,100.00
Blue Ocean,Signature Drinks,N/A,12.00,122.29,0.00,13.71,10.08,122.29,0.00,10.19,122.29,100.00
Blueberry Muffin,Muffin,N/A,8.00,57.38,0.00,2.62,4.37,57.38,0.00,7.17,57.38,100.00
Bread PizZa,Pizza,N/A,1.00,18.00,0.00,0.00,0.00,18.00,0.00,18.00,18.00,100.00
Bread Pudding,Bread Pudding,N/A,7.00,78.60,0.00,5.40,6.43,78.60,0.00,11.23,78.60,100.00
Bundle,Bundle,N/A,1.00,25.00,0.00,0.00,0.00,25.00,0.00,25.00,25.00,100.00
Burnt Cheese,Burnt Cheese,N/A,5.00,38.00,0.00,12.00,24.00,38.00,0.00,7.60,38.00,100.00
Butter Croissant,Butter Croissant,N/A,4.00,30.00,0.00,0.00,0.00,30.00,0.00,7.50,30.00,100.00
Campfire S’mores,Cookies,N/A,6.00,60.00,0.00,0.00,0.00,60.00,0.00,12.00,60.00,100.00
Cappuccino,Coffee,N/A,1840.00,14146.45,0.00,1027.05,6.77,14146.45,0.00,7.76,14146.45,100.00
Caramel Oat Chai,N/A,N/A,9.00,106.80,0.00,1.20,1.11,106.80,0.00,11.87,106.80,100.00
Caramelised Apple,N/A,N/A,15.00,85.00,0.00,35.00,29.17,85.00,0.00,7.08,85.00,100.00
Carbonara With Ham&Mushrooms,New Signature food,N/A,17.00,464.00,0.00,29.00,5.88,464.00,0.00,29.00,464.00,100.00
Carrot Walnut,Carrot Walnut,N/A,6.00,52.00,0.00,8.00,13.33,52.00,0.00,8.67,52.00,100.00
Chai Latte,Chai latte,N/A,619.00,4802.27,0.00,374.73,7.24,4802.27,0.00,7.85,4802.27,100.00
Cheese Toastie,Cheese Sandwich,N/A,8.00,64.00,0.00,0.00,0.00,64.00,0.00,8.00,64.00,100.00
Chicken Ham & Cheese,Chicken ham cheese,N/A,133.00,1597.58,0.00,87.42,5.19,1597.58,0.00,12.68,1597.58,100.00
Choc Chip Walnuts,Cookies,N/A,157.00,1551.16,0.00,132.84,7.89,1551.16,0.00,10.48,1551.16,100.00
Chocolate Marble,Chocolate Marble,N/A,98.00,602.63,0.00,223.37,27.04,602.63,0.00,6.34,602.63,100.00
Christmas Specials,Christmas,N/A,1.00,0.00,0.00,15.00,100.00,0.00,0.00,0.00,0.00,0.00
Classic Brownie,Brownie,N/A,5.00,30.00,0.00,0.00,0.00,30.00,0.00,6.00,30.00,100.00
Classic Sandu Combo,Classic Sandwich Combo,N/A,4.00,45.00,0.00,15.00,25.00,45.00,0.00,11.25,45.00,100.00
Coffe Cookie Couple,Coffe&Cookie combo,N/A,186.00,3066.00,0.00,212.00,6.47,3066.00,0.00,16.57,3066.00,100.00
Coffee Cake Combo,Coffe cake combo,N/A,234.00,3130.00,0.00,392.00,11.13,3130.00,0.00,13.61,3130.00,100.00
Coffee Puff Combo,Coffe Puff Combo,N/A,9.00,90.00,0.00,0.00,0.00,90.00,0.00,10.00,90.00,100.00
Cold Brew,Cold Brew,N/A,1334.00,10926.37,0.00,209.63,1.88,10926.37,0.00,8.25,10926.37,100.00
Cold Drip,Cold Drip,N/A,4.00,64.00,0.00,0.00,0.00,64.00,0.00,16.00,64.00,100.00
Cold Milk,Milk,N/A,4.00,15.00,0.00,5.00,25.00,15.00,0.00,3.75,15.00,100.00
Creamy Pesto Chicken Pasta,New Signature food,N/A,19.00,517.88,0.00,31.12,5.67,517.88,0.00,27.26,517.88,100.00
Croissant Combo,Butter Croissant,N/A,4.00,42.00,0.00,0.00,0.00,42.00,0.00,10.50,42.00,100.00
Curry Puff,Curry Puff,N/A,13.00,24.00,0.00,2.00,7.69,24.00,0.00,3.00,24.00,100.00
Diwali Kheer,Deepavali Desert,N/A,3.00,30.00,0.00,0.00,0.00,30.00,0.00,15.00,30.00,100.00
Diwali Spice Chai,Deepavali Special,N/A,4.00,28.00,0.00,10.00,26.32,28.00,0.00,7.00,28.00,100.00
Doppio,Coffee,N/A,57.00,343.10,0.00,12.90,3.62,343.10,0.00,6.02,343.10,100.00
Double Chocolate,Cookies,N/A,9.00,75.00,0.00,33.00,30.56,75.00,0.00,8.33,75.00,100.00
Egg Tart,Blueberry Tart,N/A,25.00,163.60,0.00,49.40,23.19,163.60,0.00,8.61,163.60,100.00
Egg Toast,Scrambled Egg,N/A,109.00,1932.67,0.00,162.33,7.75,1932.67,0.00,18.41,1932.67,100.00
EggMayo Cheese,EggMayo Cheese,N/A,47.00,554.42,0.00,41.58,6.98,554.42,0.00,12.32,554.42,100.00
English Breakfast,Tea,N/A,145.00,1160.60,0.00,8.40,0.72,1160.60,0.00,8.06,1160.60,100.00
Espresso,Coffee,N/A,86.00,483.90,0.00,14.10,2.83,483.90,0.00,5.63,483.90,100.00
Espresso Macchiato,Coffee,N/A,15.00,97.00,0.00,0.00,0.00,97.00,0.00,6.47,97.00,100.00
Flat White,Coffee,N/A,2371.00,18228.04,0.00,1408.96,7.18,18228.04,0.00,7.76,18228.04,100.00
French Toast,New Signature food,N/A,18.00,252.30,0.00,16.70,6.21,252.30,0.00,14.02,252.30,100.00
Fried Rice,LunchBox,N/A,2.00,25.00,0.00,0.00,0.00,25.00,0.00,12.50,25.00,100.00
Frittata,Breakfast,N/A,3.00,66.00,0.00,0.00,0.00,66.00,0.00,33.00,66.00,100.00
Grilled Chicken With Creamy Sauce,N/A,N/A,18.00,420.00,0.00,84.00,16.67,420.00,0.00,23.33,420.00,100.00
Honey Lemon,Tea,N/A,91.00,702.00,0.00,80.00,10.23,702.00,0.00,7.71,702.00,100.00
Hot Chocolate,Chocolate,N/A,2257.00,18186.17,0.00,411.83,2.21,18186.17,0.00,8.09,18186.17,100.00
Hot Milk,Milk,N/A,77.00,385.00,0.00,0.00,0.00,385.00,0.00,5.07,385.00,100.00
ICED Americano,Coffee,N/A,940.00,6484.68,0.00,108.32,1.64,6484.68,0.00,6.97,6484.68,100.00
ICED Black,Coffee,N/A,1872.00,15022.70,0.00,313.80,2.05,15022.70,0.00,8.14,15022.70,100.00
ICED Cappuccino,Coffee,N/A,271.00,2212.70,0.00,53.80,2.37,2212.70,0.00,8.20,2212.70,100.00
ICED Chai latte,Chai latte,N/A,100.00,896.00,0.00,8.00,0.88,896.00,0.00,9.24,896.00,100.00
ICED Chocolate,Chocolate,N/A,2073.00,16991.43,0.00,336.07,1.94,16991.43,0.00,8.24,16991.43,100.00
ICED Doppio,Coffee,N/A,6.00,24.00,0.00,12.00,33.33,24.00,0.00,4.80,24.00,100.00
ICED Espresso,Coffee,N/A,8.00,44.00,0.00,0.00,0.00,44.00,0.00,5.50,44.00,100.00
ICED Flat White,Coffee,N/A,191.00,1540.20,0.00,31.80,2.02,1540.20,0.00,8.06,1540.20,100.00
ICED Latte,Coffee,N/A,5914.00,50374.67,0.00,684.83,1.34,50374.67,0.00,8.57,50374.67,100.00
ICED Lungo,Coffee,N/A,142.00,1060.00,0.00,0.00,0.00,1060.00,0.00,7.46,1060.00,100.00
ICED Magic,Coffee,N/A,266.00,2516.00,0.00,12.00,0.47,2516.00,0.00,9.46,2516.00,100.00
ICED Mocha,Choc+coffe,N/A,1077.00,10059.40,0.00,88.10,0.87,10059.40,0.00,9.38,10059.40,100.00
ICED Red Eye Chai,Chai latte,N/A,45.00,399.00,0.00,9.00,2.21,399.00,0.00,8.87,399.00,100.00
