SUPLIER & ITEMS ,UNIT ,PRICE ,UNIT ,PRICE ,,Monday Thunder Stock,Min Home Stock,Order Amount,,,,
Thunder HOUSE Blend,,,,,,,,,,,,Blend %
Indonesia Robusta,kg, MYR 28.59 ,,,,,,,,, MYR 7.15 ,25%
Ethiopia,kg, MYR 36.40 ,,,,,,,,, MYR 27.30 ,75%
BLEND PRICE,,,gm , MYR 0.04 ,,,,,,, MYR 40.53 ,KG price
Thunder MAGIC Blend,,,,,,,,,,,,Blend %
Rwanda,kg, MYR 40.00 ,,,,,,,,, MYR 20.00 ,50%
Ethiopia,kg, MYR 36.40 ,,,,,,,,, MYR 18.20 ,50%
BLEND PRICE,,,gm , MYR 0.04 ,,,,,,, MYR 44.94 ,KG price
Flacon Greens,,,,,,,,,,,,
Brazil Roasted Beans,kg, MYR 70.00 ,gm , MYR 0.07 ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,,,,,,,,,,,,
OBTECH ,,,,,,,,,,,,
12 oz double wall hot cups ( plain white) ,ctn, MYR 160.00 ,PCS , MYR 0.32 ,,,,,,,,
Pla Sipper hot Cup Lids 12oz/16oz white ,ctn, MYR 220.00 ,PCS , MYR 0.22 ,,,,,,,,
12 oz Plastic pet cup ,ctn, MYR 270.00 ,PCS , MYR 0.27 ,,,,,,,,
12 oz Plastic cup lids ,ctn, MYR 230.00 ,PCS , MYR 0.12 ,,,,,,,,
8OZ HOT CUP ,ctn, MYR 250.00 ,PCS , MYR 0.25 ,,,,,,,,
8OZ HOT CUP LIDS ,ctn, MYR 220.00 ,PCS , MYR 0.22 ,,,,,,,,
satchel paper Bag - White ,ctn, MYR 270.00 ,PCS , MYR 0.05 ,,,,,,,,
16 oz Plastic Pet cup,ctn, MYR 290.00 ,PCS , MYR 0.29 ,,,,,,,,
16 oz Plastic Pet lids Flate Lids,ctn, MYR 150.00 ,PCS , MYR 0.15 ,,,,,,,,
Paper Straw ,Ctn , MYR 290.00 ,PCS , MYR 0.06 ,,,,,,,,
UGS,,,,,,,,,,,,
8oz Double wall Paper Cup white ,ctn, MYR 130.00 ,, MYR 0.26 ,,,,,,,,
12oz Double wall Paper cup White ,ctn,,,,,,,,,,,
16OZ Tall Double Wall Paper Cup White ,ctn, MYR 190.00 ,, MYR 0.38 ,,,,,,,,
12oz 95mm Cleare ICED cup ,ctn, MYR 250.00 ,, MYR 0.25 ,,,,,,,,
Paper Straw White wrapped ,ctn, MYR 130.00 ,, MYR 0.03 ,,,,,,,,
12oz/16oz ICED lids,ctn, MYR 110.00 ,, MYR 0.06 ,,,,,,,,
,,,,,,,,,,,,
AYC ,,,,,,,,,,, ,
Farm fresh milk ,ctn/6btl/litter , MYR 14.26 ,ml, MYR 0.01 ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
LUCKY FROZEN ,,,,,,,,,,,,
Oat milk ,ctn/6btl/litter , MYR 9.30 ,ml, MYR 0.01 ,,,,,,,,
Chicken Ham ,800gm/30pkt, MYR 19.60 ,, MYR 0.65 ,,,,,,,,
